"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
239,kua,   ,kj,Kuanyama; Kwanyama,kuanyama; kwanyama,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
240,kum,   ,  ,Kumyk,koumyk,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
241,kur,   ,ku,Kurdish,kurde,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
242,kut,   ,  ,Kutenai,kutenai,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
243,lad,   ,  ,Ladino,judéo-espagnol,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
244,lah,   ,  ,Lahnda,lahnda,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
245,lam,   ,  ,Lamba,lamba,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
246,lao,   ,lo,Lao,lao,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
247,lat,   ,la,Latin,latin,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
248,lav,   ,lv,Latvian,letton,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
249,lez,   ,  ,Lezghian,lezghien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
250,lim,   ,li,Limburgan; Limburger; Limburgish,limbourgeois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
251,lin,   ,ln,Lingala,lingala,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
252,lit,   ,lt,Lithuanian,lituanien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
253,lol,   ,  ,Mongo,mongo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
254,loz,   ,  ,Lozi,lozi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
255,ltz,   ,lb,Luxembourgish; Letzeburgesch,luxembourgeois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
256,lua,   ,  ,Luba-Lulua,luba-lulua,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
257,lub,   ,lu,Luba-Katanga,luba-katanga,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
258,lug,   ,lg,Ganda,ganda,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
259,lui,   ,  ,Luiseno,luiseno,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
260,lun,   ,  ,Lunda,lunda,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
261,luo,   ,  ,Luo (Kenya and Tanzania),luo (Kenya et Tanzanie),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
262,lus,   ,  ,Lushai,lushai,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
263,mac,mkd,mk,Macedonian,macédonien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
264,mad,   ,  ,Madurese,madourais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
265,mag,   ,  ,Magahi,magahi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
266,mah,   ,mh,Marshallese,marshall,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
267,mai,   ,  ,Maithili,maithili,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
268,mak,   ,  ,Makasar,makassar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
269,mal,   ,ml,Malayalam,malayalam,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
270,man,   ,  ,Mandingo,mandingue,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
271,mao,mri,mi,Maori,maori,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
272,map,   ,  ,Austronesian languages,"austronésiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
273,mar,   ,mr,Marathi,marathe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
274,mas,   ,  ,Masai,massaï,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
275,may,msa,ms,Malay,malais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
276,mdf,   ,  ,Moksha,moksa,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
277,mdr,   ,  ,Mandar,mandar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
278,men,   ,  ,Mende,mendé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
279,mga,   ,  ,"Irish, Middle (900-1200)",irlandais moyen (900-1200),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
280,mic,   ,  ,Mi'kmaq; Micmac,mi'kmaq; micmac,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
281,min,   ,  ,Minangkabau,minangkabau,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
282,mis,   ,  ,Uncoded languages,langues non codées,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
283,mkh,   ,  ,Mon-Khmer languages,"môn-khmer, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
284,mlg,   ,mg,Malagasy,malgache,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
285,mlt,   ,mt,Maltese,maltais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
286,mnc,   ,  ,Manchu,mandchou,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
287,mni,   ,  ,Manipuri,manipuri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
288,mno,   ,  ,Manobo languages,"manobo, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
289,moh,   ,  ,Mohawk,mohawk,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
290,mon,   ,mn,Mongolian,mongol,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
291,mos,   ,  ,Mossi,moré,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
292,mul,   ,  ,Multiple languages,multilingue,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
293,mun,   ,  ,Munda languages,"mounda, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
294,mus,   ,  ,Creek,muskogee,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
295,mwl,   ,  ,Mirandese,mirandais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
296,mwr,   ,  ,Marwari,marvari,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
297,myn,   ,  ,Mayan languages,"maya, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
298,myv,   ,  ,Erzya,erza,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
299,nah,   ,  ,Nahuatl languages,"nahuatl, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
300,nai,   ,  ,North American Indian languages,"nord-amérindiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
301,nap,   ,  ,Neapolitan,napolitain,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
302,nau,   ,na,Nauru,nauruan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
303,nav,   ,nv,Navajo; Navaho,navaho,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
304,nbl,   ,nr,"Ndebele, South; South Ndebele",ndébélé du Sud,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
305,nde,   ,nd,"Ndebele, North; North Ndebele",ndébélé du Nord,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
306,ndo,   ,ng,Ndonga,ndonga,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
307,nds,   ,  ,"Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
308,nep,   ,ne,Nepali,népalais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
309,new,   ,  ,Nepal Bhasa; Newari,nepal bhasa; newari,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
310,nia,   ,  ,Nias,nias,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
311,nic,   ,  ,Niger-Kordofanian languages,"nigéro-kordofaniennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
312,niu,   ,  ,Niuean,niué,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
313,nno,   ,nn,"Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
