"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
1,aar,   ,aa,Afar,afar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
2,abk,   ,ab,Abkhazian,abkhaze,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
3,ace,   ,  ,Achinese,aceh,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
4,ach,   ,  ,Acoli,acoli,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
5,ada,   ,  ,Adangme,adangme,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
6,ady,   ,  ,Adyghe; Adygei,adyghé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
7,afa,   ,  ,Afro-Asiatic languages,"afro-asiatiques, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
8,afh,   ,  ,Afrihili,afrihili,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
9,afr,   ,af,Afrikaans,afrikaans,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
10,ain,   ,  ,Ainu,aïnou,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
11,aka,   ,ak,Akan,akan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
12,akk,   ,  ,Akkadian,akkadien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
13,alb,sqi,sq,Albanian,albanais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
14,ale,   ,  ,Aleut,aléoute,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
15,alg,   ,  ,Algonquian languages,"algonquines, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
16,alt,   ,  ,Southern Altai,altai du Sud,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
17,amh,   ,am,Amharic,amharique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
18,ang,   ,  ,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
19,anp,   ,  ,Angika,angika,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
20,apa,   ,  ,Apache languages,"apaches, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
21,ara,   ,ar,Arabic,arabe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
22,arc,   ,  ,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
23,arg,   ,an,Aragonese,aragonais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
24,arm,hye,hy,Armenian,arménien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
25,arn,   ,  ,Mapudungun; Mapuche,mapudungun; mapuche; mapuce,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
26,arp,   ,  ,Arapaho,arapaho,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
27,art,   ,  ,Artificial languages,"artificielles, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
28,arw,   ,  ,Arawak,arawak,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
29,asm,   ,as,Assamese,assamais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
30,ast,   ,  ,Asturian; Bable; Leonese; Asturleonese,asturien; bable; léonais; asturoléonais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
31,ath,   ,  ,Athapascan languages,"athapascanes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
32,aus,   ,  ,Australian languages,"australiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
33,ava,   ,av,Avaric,avar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
34,ave,   ,ae,Avestan,avestique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
35,awa,   ,  ,Awadhi,awadhi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
36,aym,   ,ay,Aymara,aymara,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
37,aze,   ,az,Azerbaijani,azéri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
38,bad,   ,  ,Banda languages,"banda, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
39,bai,   ,  ,Bamileke languages,"bamiléké, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
40,bak,   ,ba,Bashkir,bachkir,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
41,bal,   ,  ,Baluchi,baloutchi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
42,bam,   ,bm,Bambara,bambara,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
43,ban,   ,  ,Balinese,balinais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
44,baq,eus,eu,Basque,basque,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
45,bas,   ,  ,Basa,basa,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
46,bat,   ,  ,Baltic languages,"baltes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
47,bej,   ,  ,Beja; Bedawiyet,bedja,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
48,bel,   ,be,Belarusian,biélorusse,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
49,bem,   ,  ,Bemba,bemba,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
50,ben,   ,bn,Bengali,bengali,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
51,ber,   ,  ,Berber languages,"berbères, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
52,bho,   ,  ,Bhojpuri,bhojpuri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
53,bih,   ,  ,Bihari languages,langues biharis,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
54,bik,   ,  ,Bikol,bikol,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
55,bin,   ,  ,Bini; Edo,bini; edo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
56,bis,   ,bi,Bislama,bichlamar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
57,bla,   ,  ,Siksika,blackfoot,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
58,bnt,   ,  ,Bantu languages,"bantou, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
59,bos,   ,bs,Bosnian,bosniaque,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
60,bra,   ,  ,Braj,braj,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
61,bre,   ,br,Breton,breton,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
62,btk,   ,  ,Batak languages,"batak, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
63,bua,   ,  ,Buriat,bouriate,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
64,bug,   ,  ,Buginese,bugi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
65,bul,   ,bg,Bulgarian,bulgare,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
66,bur,mya,my,Burmese,birman,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
67,byn,   ,  ,Blin; Bilin,blin; bilen,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
68,cad,   ,  ,Caddo,caddo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
69,cai,   ,  ,Central American Indian languages,"amérindiennes de L'Amérique centrale, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
70,car,   ,  ,Galibi Carib,karib; galibi; carib,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
71,cat,   ,ca,Catalan; Valencian,catalan; valencien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
72,cau,   ,  ,Caucasian languages,"caucasiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
73,ceb,   ,  ,Cebuano,cebuano,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
74,cel,   ,  ,Celtic languages,"celtiques, langues; celtes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
75,cha,   ,ch,Chamorro,chamorro,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
76,chb,   ,  ,Chibcha,chibcha,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
77,che,   ,ce,Chechen,tchétchène,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
78,chg,   ,  ,Chagatai,djaghataï,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
79,chi,zho,zh,Chinese,chinois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
80,chk,   ,  ,Chuukese,chuuk,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
81,chm,   ,  ,Mari,mari,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
82,chn,   ,  ,Chinook jargon,"chinook, jargon",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
83,cho,   ,  ,Choctaw,choctaw,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
84,chp,   ,  ,Chipewyan; Dene Suline,chipewyan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
85,chr,   ,  ,Cherokee,cherokee,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
86,chu,   ,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'église; vieux slave; slavon liturgique; vieux bulgare,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
87,chv,   ,cv,Chuvash,tchouvache,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
88,chy,   ,  ,Cheyenne,cheyenne,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
89,cmc,   ,  ,Chamic languages,"chames, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
90,cnr,   ,  ,Montenegrin,monténégrin,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
91,cop,   ,  ,Coptic,copte,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
92,cor,   ,kw,Cornish,cornique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
93,cos,   ,co,Corsican,corse,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
94,cpe,   ,  ,"Creoles and pidgins, English based",créoles et pidgins basés sur l'anglais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
95,cpf,   ,  ,"Creoles and pidgins, French-based",créoles et pidgins basés sur le français,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
96,cpp,   ,  ,"Creoles and pidgins, Portuguese-based",créoles et pidgins basés sur le portugais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
97,cre,   ,cr,Cree,cree,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
98,crh,   ,  ,Crimean Tatar; Crimean Turkish,tatar de Crimé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
99,crp,   ,  ,Creoles and pidgins,créoles et pidgins,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
100,csb,   ,  ,Kashubian,kachoube,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
101,cus,   ,  ,Cushitic languages,"couchitiques, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
102,cze,ces,cs,Czech,tchèque,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
103,dak,   ,  ,Dakota,dakota,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
104,dan,   ,da,Danish,danois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
105,dar,   ,  ,Dargwa,dargwa,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
106,day,   ,  ,Land Dayak languages,"dayak, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
107,del,   ,  ,Delaware,delaware,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
108,den,   ,  ,Slave (Athapascan),esclave (athapascan),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
109,dgr,   ,  ,Tlicho; Dogrib,tlicho; dogrib,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
110,din,   ,  ,Dinka,dinka,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
111,div,   ,dv,Divehi; Dhivehi; Maldivian,maldivien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
112,doi,   ,  ,Dogri,dogri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
113,dra,   ,  ,Dravidian languages,"dravidiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
114,dsb,   ,  ,Lower Sorbian,bas-sorabe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
115,dua,   ,  ,Duala,douala,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
116,dum,   ,  ,"Dutch, Middle (ca.1050-1350)",néerlandais moyen (ca. 1050-1350),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
117,dut,nld,nl,Dutch; Flemish,néerlandais; flamand,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
118,dyu,   ,  ,Dyula,dioula,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
119,dzo,   ,dz,Dzongkha,dzongkha,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
120,efi,   ,  ,Efik,efik,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
121,egy,   ,  ,Egyptian (Ancient),égyptien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
122,eka,   ,  ,Ekajuk,ekajuk,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
123,elx,   ,  ,Elamite,élamite,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
124,eng,   ,en,English,anglais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
125,enm,   ,  ,"English, Middle (1100-1500)",anglais moyen (1100-1500),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
126,epo,   ,eo,Esperanto,espéranto,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
127,est,   ,et,Estonian,estonien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
128,ewe,   ,ee,Ewe,éwé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
129,ewo,   ,  ,Ewondo,éwondo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
130,fan,   ,  ,Fang,fang,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
131,fao,   ,fo,Faroese,féroïen,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
132,fat,   ,  ,Fanti,fanti,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
133,fij,   ,fj,Fijian,fidjien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
134,fil,   ,  ,Filipino; Pilipino,filipino; pilipino,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
135,fin,   ,fi,Finnish,finnois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
136,fiu,   ,  ,Finno-Ugrian languages,"finno-ougriennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
137,fon,   ,  ,Fon,fon,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
138,fre,fra,fr,French,français,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
139,frm,   ,  ,"French, Middle (ca.1400-1600)",français moyen (1400-1600),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
140,fro,   ,  ,"French, Old (842-ca.1400)",français ancien (842-ca.1400),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
141,frr,   ,  ,Northern Frisian,frison septentrional,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
142,frs,   ,  ,Eastern Frisian,frison oriental,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
143,fry,   ,fy,Western Frisian,frison occidental,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
144,ful,   ,ff,Fulah,peul,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
145,fur,   ,  ,Friulian,frioulan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
146,gaa,   ,  ,Ga,ga,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
147,gay,   ,  ,Gayo,gayo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
148,gba,   ,  ,Gbaya,gbaya,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
149,gem,   ,  ,Germanic languages,"germaniques, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
150,geo,kat,ka,Georgian,géorgien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
151,ger,deu,de,German,allemand,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
152,gez,   ,  ,Geez,guèze,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
153,gil,   ,  ,Gilbertese,kiribati,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
154,gla,   ,gd,Gaelic; Scottish Gaelic,gaélique; gaélique écossais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
155,gle,   ,ga,Irish,irlandais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
156,glg,   ,gl,Galician,galicien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
157,glv,   ,gv,Manx,manx; mannois,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
158,gmh,   ,  ,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
